UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN
133951,40,3,1,1,R,19723,R,8543,R,11180,R,6,R,3,R,3,R,545,R,240,R,305,R,2121,R,785,R,1336,R,13209,R,5708,R,7501,R,7,R,3,R,4,R,1530,R,715,R,815,R,396,R,158,R,238,R,103,R,46,R,57,R,1806,R,885,R,921,A,,A,,A,,A,
133951,41,28,2,4,R,20234,R,9358,R,10876,R,8,R,2,R,6,R,501,R,236,R,265,R,2473,R,982,R,1491,R,14097,R,6643,R,7454,R,12,R,8,R,4,R,1975,R,934,R,1041,R,405,R,179,R,226,R,184,R,96,R,88,R,579,R,278,R,301,A,,A,,A,,A,
133951,42,22,2,1,R,17951,R,8498,R,9453,R,6,R,2,R,4,R,437,R,213,R,224,R,2116,R,884,R,1232,R,12765,R,6138,R,6627,R,12,R,8,R,4,R,1676,R,820,R,856,R,351,R,160,R,191,R,148,R,77,R,71,R,440,R,196,R,244,A,,A,,A,,A,
133951,43,20,2,1,R,13293,R,6432,R,6861,R,5,R,1,R,4,R,343,R,167,R,176,R,1514,R,655,R,859,R,9444,R,4606,R,4838,R,9,R,7,R,2,R,1217,R,633,R,584,R,279,R,134,R,145,R,75,R,37,R,38,R,407,R,192,R,215,A,,A,,A,,A,
133951,44,15,2,1,R,1727,R,863,R,864,R,0,R,0,R,0,R,55,R,27,R,28,R,202,R,84,R,118,R,1275,R,651,R,624,R,1,R,1,R,0,R,115,R,66,R,49,R,25,R,11,R,14,R,16,R,9,R,7,R,38,R,14,R,24,A,,A,,A,,A,
133951,45,99,2,1,R,11566,R,5569,R,5997,R,5,R,1,R,4,R,288,R,140,R,148,R,1312,R,571,R,741,R,8169,R,3955,R,4214,R,8,R,6,R,2,R,1102,R,567,R,535,R,254,R,123,R,131,R,59,R,28,R,31,R,369,R,178,R,191,A,,A,,A,,A,
133951,51,21,2,1,R,4658,R,2066,R,2592,R,1,R,1,R,0,R,94,R,46,R,48,R,602,R,229,R,373,R,3321,R,1532,R,1789,R,3,R,1,R,2,R,459,R,187,R,272,R,72,R,26,R,46,R,73,R,40,R,33,R,33,R,4,R,29,A,,A,,A,,A,
133951,52,25,2,3,R,2283,R,860,R,1423,R,2,R,0,R,2,R,64,R,23,R,41,R,357,R,98,R,259,R,1332,R,505,R,827,R,0,R,0,R,0,R,299,R,114,R,185,R,54,R,19,R,35,R,36,R,19,R,17,R,139,R,82,R,57,A,,A,,A,,A,
133951,59,16,2,1,R,1619,R,712,R,907,R,0,R,0,R,0,R,30,R,14,R,16,R,222,R,90,R,132,R,1104,R,499,R,605,R,0,R,0,R,0,R,169,R,72,R,97,R,38,R,13,R,25,R,14,R,6,R,8,R,42,R,18,R,24,A,,A,,A,,A,
133951,60,17,2,1,R,9947,R,4857,R,5090,R,5,R,1,R,4,R,258,R,126,R,132,R,1090,R,481,R,609,R,7065,R,3456,R,3609,R,8,R,6,R,2,R,933,R,495,R,438,R,216,R,110,R,106,R,45,R,22,R,23,R,327,R,160,R,167,A,,A,,A,,A,
